id_source,id_target
964,32
426,16
128,32
173,40
787,10
75,31
211,16
251,32
512,10
869,10
292,22
875,16
674,32
751,16
463,16
665,16
504,44
333,16
236,44
578,16
361,2
406,8
652,16
152,31
634,10
817,10
486,8
270,32
239,44
119,31
558,65
537,2
929,31
600,16
115,16
786,44
402,0
952,10
555,36
114,31
176,16
738,50
685,16
480,16
80,31
982,31
740,32
843,5
616,32
773,44
221,32
988,10
777,16
451,16
872,16
205,44
859,16
724,32
497,16
389,31
529,16
419,16
630,16
378,31
209,32
396,31
913,16
273,5
892,66
325,32
977,10
469,2
874,32
358,26
935,16
992,14
862,6
619,31
416,16
932,36
323,16
23,32
590,32
384,2
408,31
13,16
76,32
229,50
846,32
618,31
572,36
877,16
805,28
505,0
166,44
48,32
984,16
745,36
426,32
426,34
426,34
426,50
426,50
426,50
426,50
426,52
426,52
426,52
426,52
426,52
426,52
426,52
426,52
75,21
211,50
211,52
211,52
512,16
512,23
512,23
512,29
512,29
512,29
512,29
512,32
512,32
512,32
512,32
512,32
512,32
512,32
512,32
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,50
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
512,52
869,32
875,31
875,21
875,21
875,50
875,50
875,50
875,50
875,52
875,52
875,52
875,52
875,52
875,52
875,52
875,52
751,34
751,50
751,50
751,52
751,52
751,52
751,52
463,22
463,24
463,24
463,50
463,50
463,50
463,50
463,52
463,52
463,52
463,52
463,52
463,52
463,52
463,52
665,23
665,34
665,34
665,44
665,44
665,44
665,44
665,46
665,46
665,46
665,46
665,46
665,46
665,46
665,46
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,50
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
665,52
333,23
333,50
333,50
333,52
333,52
333,52
333,52
578,31
578,21
578,21
578,50
578,50
578,50
578,50
578,52
578,52
578,52
578,52
578,52
578,52
578,52
578,52
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
578,68
361,3
361,4
361,4
361,5
361,5
361,5
361,5
361,36
361,36
361,36
361,36
361,36
361,36
361,36
361,36
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,39
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,51
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,65
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
361,38
652,23
652,50
652,50
652,52
652,52
652,52
652,52
152,21
